,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Score,0.16,,0.26,**,0.45,***,0.4,***,0.44,***,,,-0.18,,-0.03,,-0.18,,-0.03,,0.06,,0.34,***,,,0.08,,0.46,***,0.6,***,-0.25,**,0.04,,-0.22,,0.54,**,,,-0.17,,0.06,,0.39,***,0.67,***,,,0.14,,,,0.66,***,,,0.47,***,0.13,,0.23,*,0.44,***,0.38,***,0.39,***,0.38,***,-0.5,***,-0.3,*,-0.47,***,0.46,***,0.48,***,,,1.0,***,0.32,**,0.53,***,0.45,***,0.4,***,0.45,***,0.16,,0.21,*,0.4,***,,,0.4,***,0.26,**,0.66,***,-0.12,,0.21,*,,,1.0,***,0.0,,,,,,-0.31,**,,,0.22,*,,,-0.09,,0.06,,-0.05,,0.34,**,-0.16,,0.52,***,-0.02,,0.25,*,0.25,*,0.47,***,0.29,**,0.66,***
Security,0.03,,-0.2,*,0.05,,0.06,,-0.1,,,,-0.04,,-0.15,,-0.04,,-0.15,,-0.34,***,-0.09,,,,-0.05,,-0.01,,-0.12,,0.12,,0.2,,0.02,,-0.73,***,,,0.38,***,-0.07,,-0.01,,0.14,,,,-0.07,,,,-0.09,,,,-0.07,,0.0,,-0.03,,-0.06,,-0.02,,-0.19,,-0.18,,0.14,,0.05,,0.14,,-0.22,*,-0.26,**,,,0.01,,-0.18,,-0.32,,0.04,,-0.15,,-0.0,,0.03,,-0.04,,-0.21,,,,-0.22,*,0.26,**,-0.01,,-0.03,,0.02,,,,0.0,,1.0,***,,,,,0.33,**,,,-0.13,,,,-0.06,,0.34,**,-0.03,,-0.16,,0.26,**,0.18,,1.0,***,-0.17,,-0.17,,-0.06,,-0.19,*,0.04,
Signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparql endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time elapsed since last modification,0.02,,-0.04,,0.12,,0.08,,-0.13,,,,0.29,*,0.12,,0.29,*,0.12,,-0.29,*,-0.14,,,,-0.14,,-0.02,,0.06,,,,0.01,,-0.18,,-0.57,**,,,0.25,*,-0.16,,0.07,,-0.06,,,,-0.17,,,,-0.42,*,,,-0.24,*,0.02,,-0.35,**,0.15,,0.21,,-0.43,***,-0.41,***,0.02,,0.05,,0.24,,-0.51,***,-0.48,***,,,-0.31,**,-0.02,,-0.31,,0.06,,0.13,,0.14,,0.02,,0.14,,-0.04,,,,-0.43,***,0.07,,-0.27,*,-0.24,*,0.08,,,,-0.31,**,0.33,**,,,,,1.0,***,,,-0.02,,,,-0.42,***,0.18,,-0.51,***,,,0.18,,0.2,,0.33,**,0.12,,0.12,,0.05,,-0.33,**,0.0,
Triples with empty annotation problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triples with malformed data type literals problem,0.28,*,0.07,,-0.08,,-0.02,,0.48,***,,,0.01,,-0.28,*,0.01,,-0.28,*,-0.08,,0.12,,,,-0.21,,-0.08,,0.27,*,-0.01,,0.02,,-0.17,,,,,,-0.18,,-0.21,,0.05,,0.22,*,,,-0.02,,,,0.23,,,,0.1,,0.12,,-0.31,**,0.04,,0.03,,-0.13,,-0.13,,-0.29,*,-0.17,,-0.14,,-0.13,,0.11,,,,0.22,*,0.27,*,0.3,,0.22,,,,0.22,,0.28,*,0.07,,0.33,**,,,-0.21,,0.1,,0.08,,0.01,,0.01,,,,0.22,*,-0.13,,,,,,-0.02,,,,1.0,***,,,-0.1,,0.13,,-0.29,**,0.2,,0.26,*,0.15,,-0.13,,0.26,*,0.26,*,-0.11,,-0.08,,0.2,
Triples with misplaced class problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
Triples with misplaced property problem,0.04,,0.03,,,,0.01,,0.21,,,,-0.01,,-0.24,*,-0.01,,-0.24,*,-0.07,,-0.09,,,,0.23,*,0.23,*,0.21,*,-0.38,***,0.36,**,-0.23,*,-0.42,*,,,0.01,,0.23,*,-0.04,,0.27,**,,,-0.3,*,,,-0.13,,,,-0.1,,-0.14,,-0.11,,-0.55,***,-0.26,*,-0.03,,-0.02,,0.15,,0.31,*,0.14,,0.09,,0.15,,,,-0.08,,-0.38,***,0.17,,0.07,,-0.33,**,-0.21,*,0.04,,0.22,*,-0.31,**,,,-0.05,,-0.08,,-0.12,,-0.15,,0.18,,,,-0.09,,-0.06,,,,,,-0.42,***,,,-0.1,,,,1.0,***,0.25,*,0.11,,-0.11,,0.25,*,0.21,,-0.06,,-0.19,,-0.19,,-0.11,,-0.15,,0.06,
Triples with white space in annotation(at the beginning or at the end),0.47,***,0.13,,0.09,,0.34,**,0.12,,,,-0.15,,-0.22,*,-0.15,,-0.22,*,-0.58,***,-0.0,,,,-0.16,,0.1,,0.45,***,-0.03,,0.45,***,-0.28,*,-0.65,***,,,0.44,***,-0.19,,-0.15,,0.42,***,,,-0.23,,,,-0.04,,,,-0.28,**,0.25,*,-0.48,***,-0.19,,0.04,,-0.0,,0.02,,0.04,,-0.05,,0.18,,-0.0,,-0.01,,,,0.07,,-0.07,,0.1,,0.64,***,0.17,,0.24,*,0.47,***,0.36,***,-0.15,,,,-0.15,,0.17,,-0.12,,-0.34,**,0.37,***,,,0.06,,0.34,**,,,,,0.18,,,,0.13,,,,0.25,*,1.0,***,-0.41,***,0.06,,0.64,***,0.52,***,0.34,**,0.01,,0.01,,0.02,,-0.48,***,0.36,***
URIs Deferenceability,-0.6,***,-0.07,,0.15,,-0.46,***,-0.15,,,,-0.15,,0.07,,-0.15,,0.07,,0.63,***,0.09,,,,0.35,**,-0.24,*,-0.57,***,-0.03,,-0.34,**,0.6,***,0.97,***,,,-0.27,*,0.35,**,0.08,,-0.16,,,,0.3,,,,-0.41,**,,,-0.05,,-0.34,**,0.31,**,-0.15,,-0.39,***,0.07,,0.07,,0.45,***,0.32,*,0.17,,0.06,,-0.03,,,,-0.05,,-0.2,,-0.21,,-0.61,***,-0.47,***,-0.46,***,-0.6,***,-0.23,*,-0.24,*,,,0.2,,0.03,,0.33,**,0.5,***,-0.27,*,,,-0.05,,-0.03,,,,,,-0.51,***,,,-0.29,**,,,0.11,,-0.41,***,1.0,***,-0.35,**,-0.66,***,-0.28,**,-0.06,,-0.52,***,-0.52,***,-0.28,**,0.42,***,-0.47,***
Undefined class used without declaration,0.28,*,0.16,,,,,,0.41,***,,,0.0,,-0.08,,0.0,,-0.08,,-0.18,,0.01,,,,0.0,,0.24,*,0.41,***,-0.28,*,0.15,,-0.1,,,,,,0.0,,0.0,,0.06,,0.3,**,,,-0.01,,,,0.18,,,,0.12,,-0.09,,-0.08,,0.22,,0.21,,0.21,,0.21,,-0.42,***,-0.19,,-0.21,,0.21,,0.37,**,,,0.34,**,0.01,,,,0.26,*,0.29,*,0.21,,0.28,*,0.17,,0.33,**,,,0.22,,-0.05,,-0.06,,-0.32,**,0.19,,,,0.34,**,-0.16,,,,,,,,,,0.2,,,,-0.11,,0.06,,-0.35,**,1.0,***,0.16,,0.1,,-0.16,,0.68,***,0.68,***,0.28,*,-0.06,,0.27,*
Undefined properties used without declaration,0.53,***,0.1,,-0.14,,0.41,***,0.21,*,,,0.11,,-0.37,***,0.11,,-0.37,***,-0.54,***,-0.14,,,,-0.38,***,0.08,,0.29,**,0.17,,0.52,***,-0.52,***,-0.86,***,,,0.26,**,-0.39,***,-0.2,*,0.09,,,,-0.25,,,,0.03,,,,-0.19,*,0.35,**,-0.48,***,-0.32,**,0.17,,-0.3,**,-0.29,**,-0.23,*,-0.05,,0.15,,-0.26,**,-0.23,*,,,-0.16,,-0.04,,0.43,**,0.46,***,0.09,,0.14,,0.53,***,0.16,,0.07,,,,-0.39,***,-0.02,,-0.43,***,-0.42,***,0.2,*,,,-0.16,,0.26,**,,,,,0.18,,,,0.26,*,,,0.25,*,0.64,***,-0.66,***,0.16,,1.0,***,0.17,,0.28,**,0.25,*,0.25,*,-0.18,,-0.55,***,0.3,**
Understandability,0.25,**,0.22,*,0.38,***,0.53,***,0.26,**,,,-0.23,*,0.17,,-0.23,*,0.17,,-0.34,***,0.26,**,,,-0.0,,0.33,***,0.57,***,-0.51,***,0.43,***,-0.6,***,-0.05,,,,0.25,**,-0.02,,0.26,**,0.61,***,,,-0.14,,,,0.22,,,,0.02,,0.16,,-0.12,,0.3,**,0.33,**,0.1,,0.11,,-0.21,,-0.32,**,-0.16,,0.13,,0.17,,,,0.53,***,0.05,,0.25,,0.64,***,0.27,*,0.43,***,0.25,**,0.37,***,0.04,,,,-0.02,,0.67,***,0.31,**,-0.34,***,0.4,***,,,0.52,***,0.18,,,,,,0.2,,,,0.15,,,,0.21,,0.52,***,-0.28,**,0.1,,0.17,,1.0,***,0.18,,0.11,,0.11,,0.48,***,-0.12,,0.55,***
Use HTTPS,0.03,,-0.18,,0.0,,0.06,,-0.09,,,,-0.02,,-0.12,,-0.02,,-0.12,,-0.33,***,-0.09,,,,-0.06,,-0.03,,-0.14,,0.15,,0.18,,0.02,,-0.73,***,,,0.37,***,-0.08,,-0.04,,0.12,,,,-0.1,,,,-0.09,,,,-0.08,,0.01,,-0.03,,-0.06,,-0.04,,-0.19,,-0.18,,0.14,,0.05,,0.17,,-0.22,*,-0.26,**,,,-0.01,,-0.21,*,-0.32,,0.03,,-0.17,,-0.0,,0.03,,-0.03,,-0.21,,,,-0.26,**,0.28,**,-0.04,,-0.04,,0.01,,,,-0.02,,1.0,***,,,,,0.33,**,,,-0.13,,,,-0.06,,0.34,**,-0.06,,-0.16,,0.28,**,0.18,,1.0,***,-0.16,,-0.16,,-0.06,,-0.19,,0.03,
Use RDF structures,0.48,***,0.27,**,0.04,,0.08,,0.23,*,,,-0.0,,-0.05,,-0.0,,-0.05,,-0.22,*,0.02,,,,-0.22,*,0.29,**,0.46,***,-0.08,,0.07,,-0.16,,,,,,0.0,,-0.24,*,-0.04,,0.13,,,,-0.03,,,,0.34,*,,,0.13,,0.37,***,-0.1,,0.49,***,0.33,**,-0.06,,-0.06,,-0.58,***,-0.39,**,-0.38,***,-0.04,,0.08,,,,0.25,*,0.3,**,0.59,***,0.42,***,0.39,***,0.35,***,0.48,***,0.15,,0.5,***,,,-0.05,,-0.07,,-0.13,,-0.26,*,0.19,,,,0.25,*,-0.17,,,,,,0.12,,,,0.26,*,,,-0.19,,0.01,,-0.52,***,0.68,***,0.25,*,0.11,,-0.16,,1.0,***,1.0,***,0.14,,-0.14,,0.33,**
Uses RDF structures,0.48,***,0.27,**,0.04,,0.08,,0.23,*,,,-0.0,,-0.05,,-0.0,,-0.05,,-0.22,*,0.02,,,,-0.22,*,0.29,**,0.46,***,-0.08,,0.07,,-0.16,,,,,,0.0,,-0.24,*,-0.04,,0.13,,,,-0.03,,,,0.34,*,,,0.13,,0.37,***,-0.1,,0.49,***,0.33,**,-0.06,,-0.06,,-0.58,***,-0.39,**,-0.38,***,-0.04,,0.08,,,,0.25,*,0.3,**,0.59,***,0.42,***,0.39,***,0.35,***,0.48,***,0.15,,0.5,***,,,-0.05,,-0.07,,-0.13,,-0.26,*,0.19,,,,0.25,*,-0.17,,,,,,0.12,,,,0.26,*,,,-0.19,,0.01,,-0.52,***,0.68,***,0.25,*,0.11,,-0.16,,1.0,***,1.0,***,0.14,,-0.14,,0.33,**
Verifiability,0.19,,0.38,***,0.2,*,0.29,*,0.08,,,,-0.13,,0.5,***,-0.13,,0.5,***,-0.07,,0.41,***,,,0.16,,0.28,**,0.4,***,-0.4,***,0.07,,-0.49,***,0.59,***,,,0.01,,0.15,,0.37,***,0.27,**,,,0.04,,,,0.5,***,,,0.26,**,0.13,,0.23,*,0.43,***,0.48,***,0.32,***,0.31,**,-0.19,,-0.17,,-0.16,,0.34,***,0.39,***,,,0.47,***,0.39,***,-0.12,,0.41,***,0.35,***,0.47,***,0.19,,0.32,***,0.13,,,,0.28,**,0.25,**,0.29,**,-0.39,***,0.38,***,,,0.47,***,-0.06,,,,,,0.05,,,,-0.11,,,,-0.11,,0.02,,-0.28,**,0.28,*,-0.18,,0.48,***,-0.06,,0.14,,0.14,,1.0,***,0.07,,0.36,***
Versatility,-0.46,***,-0.26,**,0.16,,-0.12,,-0.03,,,,0.27,**,0.44,***,0.27,**,0.44,***,0.72,***,0.03,,,,0.25,**,-0.19,*,-0.34,***,-0.07,,-0.37,***,0.31,**,0.93,***,,,-0.4,***,0.26,**,0.37,***,-0.02,,,,0.21,,,,0.22,,,,0.28,**,-0.28,*,0.57,***,0.21,,-0.08,,0.27,**,0.25,**,0.08,,-0.32,**,-0.18,,0.25,**,0.26,**,,,0.29,**,-0.2,*,-0.33,*,-0.33,***,-0.1,,0.01,,-0.46,***,-0.26,**,-0.12,,,,0.31,**,-0.05,,0.32,***,0.22,*,-0.29,**,,,0.29,**,-0.19,*,,,,,-0.33,**,,,-0.08,,,,-0.15,,-0.48,***,0.42,***,-0.06,,-0.55,***,-0.12,,-0.19,,-0.14,,-0.14,,0.07,,1.0,***,-0.03,
Timeliness,0.46,***,0.14,,0.24,*,0.73,***,0.36,***,,,-0.08,,-0.11,,-0.08,,-0.11,,-0.36,***,0.14,,,,-0.32,***,0.44,***,0.63,***,-0.22,*,0.32,**,-0.64,***,-0.29,,,,0.22,*,-0.34,***,0.19,*,0.61,***,,,-0.17,,,,0.63,***,,,0.19,*,0.31,**,0.03,,0.4,***,0.49,***,0.1,,0.11,,-0.54,***,-0.5,***,-0.32,**,0.18,,0.26,**,,,0.66,***,0.25,*,0.55,***,0.66,***,0.38,***,0.45,***,0.46,***,0.18,,0.2,,,,0.02,,0.09,,0.28,**,-0.56,***,0.22,*,,,0.66,***,0.04,,,,,,0.0,,,,0.2,,,,0.06,,0.36,***,-0.47,***,0.27,*,0.3,**,0.55,***,0.03,,0.33,**,0.33,**,0.36,***,-0.03,,1.0,***
