,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Description,Description_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Reputation,0.42,***,0.46,***,0.07,**,0.22,*,0.08,***,,,-0.0,,0.39,***,-0.0,,0.39,***,-0.09,***,0.27,***,,,0.1,***,0.1,***,0.11,***,0.11,***,0.79,***,-0.4,***,,,-0.23,,,,0.11,***,0.47,***,0.07,**,0.09,***,,,0.15,***,,,0.1,,,,0.1,***,0.16,,-0.32,***,0.11,,-0.03,,0.05,,0.04,,0.01,,-0.03,,0.34,***,0.11,,0.13,,,,0.17,***,0.07,,0.46,***,0.58,***,0.45,***,0.46,***,0.54,***,0.76,***,-0.18,*,,,0.06,*,0.26,***,0.09,***,0.06,*,1.0,***,,,0.16,***,0.06,**,,,0.16,***,-0.11,,,,0.06,,,,0.14,,0.41,***,-0.2,*,0.14,,0.21,**,0.29,***,-0.03,,0.13,,0.13,,-0.03,,0.08,**,0.12,***
Requires authentication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score,0.61,***,0.5,***,0.51,***,0.48,***,0.48,***,,,0.59,***,0.35,***,0.59,***,0.35,***,0.59,***,0.36,***,,,0.21,***,0.48,***,0.47,***,0.5,***,0.1,***,-0.52,***,,,-0.44,**,,,-0.18,***,0.12,***,0.47,***,0.47,***,,,-0.01,,,,0.48,***,,,0.69,***,0.13,,-0.08,,0.24,*,0.1,,0.27,***,0.27,***,-0.4,***,-0.24,*,0.01,,0.38,***,0.42,***,,,1.0,***,0.22,**,0.02,,0.57,***,0.5,***,0.46,***,0.54,***,0.34,***,0.12,,,,0.51,***,0.2,***,0.47,***,0.53,***,0.16,***,,,1.0,***,0.51,***,,,0.84,***,-0.37,***,,,0.19,*,,,0.11,,0.34,***,-0.14,,0.32,***,0.07,,0.38,***,-0.01,,0.23,**,0.23,**,0.59,***,0.53,***,0.28,***
Security,0.4,***,0.16,***,1.0,***,0.01,,0.89,***,,,0.35,***,0.0,,0.35,***,0.0,,0.53,***,-0.08,**,,,0.4,***,0.94,***,0.89,***,0.81,***,0.0,,0.04,,,,-0.64,***,,,-0.11,***,-0.14,***,0.92,***,0.9,***,,,-0.11,***,,,-0.17,,,,0.16,***,0.01,,0.13,,-0.12,,0.11,,-0.28,***,-0.29,***,-0.09,,0.17,,-0.07,,-0.32,***,-0.32,***,,,0.51,***,-0.1,,0.18,,-0.17,*,-0.32,***,-0.09,,-0.1,,0.13,***,0.04,,,,0.99,***,-0.03,,0.9,***,0.95,***,0.06,**,,,0.51,***,1.0,***,,,0.98,***,0.38,***,,,0.02,,,,0.04,,-0.05,,-0.15,,-0.13,,0.15,,0.28,***,1.0,***,-0.11,,-0.11,,0.51,***,0.9,***,0.51,***
Signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparql endpoint,0.62,***,0.24,***,0.96,***,,,0.85,***,,,0.6,***,,,0.6,***,,,0.85,***,0.04,,,,0.34,***,0.89,***,0.84,***,0.82,***,0.21,***,,,,,,,,,-0.3,***,-0.21,***,0.86,***,0.84,***,,,-0.15,*,,,,,,,0.24,***,,,,,,,,,,,,,,,,,,,,,,,,,0.84,***,,,-0.08,,,,,,,,,,0.25,***,,,,,0.96,***,-0.14,**,0.84,***,0.96,***,0.16,***,,,0.84,***,0.98,***,,,1.0,***,,,,,,,,,,,,,,,,,,,0.36,***,,,,,,,0.77,***,0.92,***,0.44,***
Time elapsed since last modification,-0.22,*,-0.21,*,-0.39,***,0.01,,-0.12,,,,0.24,**,0.12,,0.24,**,0.12,,-0.45,***,-0.43,***,,,-0.04,,0.24,**,-0.13,,,,-0.09,,0.05,,,,-0.28,,,,0.27,**,-0.05,,-0.2,*,-0.25,**,,,-0.21,,,,-0.5,***,,,-0.38,***,0.14,,0.33,***,0.08,,0.59,***,-0.24,**,-0.26,**,-0.19,*,0.22,*,-0.2,*,-0.39,***,-0.41,***,,,-0.37,***,0.28,**,0.19,,-0.28,**,-0.33,***,-0.1,,-0.22,*,0.07,,0.3,**,,,-0.02,,-0.15,,0.19,*,0.1,,-0.11,,,,-0.37,***,0.38,***,,,,,1.0,***,,,-0.02,,,,-0.21,*,-0.39,***,-0.61,***,-0.17,,-0.09,,-0.24,**,0.38,***,0.17,,0.17,,-0.14,,-0.06,,-0.22,*
Triples with empty annotation problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triples with malformed data type literals problem,0.31,***,0.15,,0.14,,0.03,,0.24,**,,,0.13,,0.03,,0.13,,0.03,,-0.03,,0.03,,,,-0.19,*,-0.02,,0.16,,0.08,,0.09,,-0.15,,,,,,,,-0.09,,-0.18,*,-0.01,,0.24,**,,,-0.04,,,,0.06,,,,-0.0,,0.18,*,-0.26,**,0.04,,0.06,,-0.15,,-0.13,,-0.31,***,-0.0,,-0.18,*,-0.13,,-0.13,,,,0.19,*,0.23,**,0.26,,0.16,,-0.01,,0.23,**,0.31,***,0.13,,0.35,***,,,-0.14,,0.0,,0.09,,-0.0,,0.06,,,,0.19,*,0.02,,,,,,-0.02,,,,1.0,***,,,-0.11,,0.18,*,-0.27,**,0.21,*,0.25,**,0.02,,0.02,,0.16,,0.16,,-0.09,,0.0,,0.18,*
Triples with misplaced class problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
Triples with misplaced property problem,-0.1,,-0.01,,0.22,**,-0.1,,0.35,***,,,0.07,,-0.05,,0.07,,-0.05,,0.07,,-0.16,,,,0.15,,0.29,***,0.16,,0.21,*,0.18,*,-0.11,,,,-0.45,**,,,-0.01,,0.15,,-0.15,,0.31,***,,,-0.29,**,,,-0.11,,,,-0.16,,-0.11,,0.04,,-0.55,***,0.09,,-0.23,**,-0.23,**,0.04,,0.45,***,-0.08,,-0.03,,0.03,,,,0.11,,-0.39,***,0.14,,-0.06,,-0.37,***,-0.26,**,-0.1,,0.19,*,-0.11,,,,-0.11,,-0.26,**,0.14,,-0.01,,0.14,,,,0.11,,0.04,,,,,,-0.21,*,,,-0.11,,,,1.0,***,0.02,,-0.0,,-0.11,,0.14,,-0.05,,0.04,,-0.15,,-0.15,,-0.19,*,0.11,,0.06,
Triples with white space in annotation(at the beginning or at the end),0.57,***,0.32,***,0.79,***,0.48,***,0.44,***,,,0.02,,0.46,***,0.02,,0.46,***,0.0,,0.42,***,,,-0.04,,-0.43,***,0.46,***,-0.03,,0.43,***,-0.46,***,,,0.09,,,,0.01,,-0.05,,0.26,**,0.39,***,,,0.08,,,,0.11,,,,0.25,**,0.03,,-0.63,***,0.04,,-0.3,***,0.01,,0.02,,0.14,,-0.23,*,0.43,***,0.04,,0.09,,,,0.34,***,-0.22,*,0.52,***,0.72,***,0.47,***,0.44,***,0.57,***,0.24,**,-0.41,***,,,-0.31,***,0.34,***,-0.41,***,-0.47,***,0.41,***,,,0.34,***,-0.05,,,,,,-0.39,***,,,0.18,*,,,0.02,,1.0,***,-0.0,,0.07,,0.58,***,0.65,***,-0.05,,-0.11,,-0.11,,0.27,**,-0.29,***,0.45,***
URIs Deferenceability,-0.38,***,-0.14,,-0.1,,-0.17,,-0.32,***,,,-0.1,,-0.27,**,-0.1,,-0.27,**,0.67,***,0.29,***,,,0.1,,-0.4,***,-0.47,***,-0.26,**,-0.21,*,0.35,***,,,0.78,***,,,-0.23,**,0.14,,0.09,,-0.34,***,,,0.43,***,,,-0.01,,,,0.06,,-0.35,***,-0.08,,-0.19,,-0.46,***,0.19,*,0.18,*,0.32,***,-0.1,,0.15,,0.17,*,0.19,*,,,-0.14,,-0.08,,-0.62,***,-0.17,,-0.12,,-0.17,*,-0.38,***,-0.29,***,-0.24,**,,,0.04,,0.17,*,-0.12,,0.26,**,-0.2,*,,,-0.14,,-0.15,,,,,,-0.61,***,,,-0.27,**,,,-0.0,,-0.0,,1.0,***,-0.16,,-0.32,***,-0.03,,-0.18,*,-0.48,***,-0.48,***,-0.15,,0.16,,-0.27,***
Undefined class used without declaration,0.17,,0.04,,0.08,,0.1,,0.26,**,,,0.02,,0.11,,0.02,,0.11,,-0.21,*,0.03,,,,-0.02,,0.1,,0.38,***,0.49,***,0.1,,-0.09,,,,,,,,0.2,*,-0.02,,0.09,,0.24,**,,,0.01,,,,-0.15,,,,0.03,,-0.07,,-0.06,,0.11,,0.08,,0.04,,0.04,,-0.42,***,0.0,,-0.12,,0.07,,0.08,,,,0.31,***,0.04,,,,0.08,,0.27,**,0.22,*,0.17,,0.15,,0.36,***,,,0.08,,-0.05,,-0.03,,-0.3,***,0.14,,,,0.32,***,-0.13,,,,,,-0.17,,,,0.21,*,,,-0.11,,0.07,,-0.16,,1.0,***,0.02,,0.04,,-0.13,,0.52,***,0.52,***,0.07,,0.11,,0.21,*
Undefined properties used without declaration,0.51,***,0.15,,0.19,*,0.44,***,0.35,***,,,0.03,,0.26,**,0.03,,0.26,**,-0.15,,0.13,,,,-0.26,***,-0.2,*,0.22,**,-0.22,**,0.17,*,-0.53,***,,,-0.75,***,,,-0.01,,-0.27,***,0.04,,0.2,*,,,0.03,,,,0.15,,,,0.0,,0.27,**,-0.54,***,-0.08,,-0.23,**,-0.27,***,-0.25,**,-0.15,,-0.22,*,0.19,*,-0.22,**,-0.14,,,,0.07,,-0.24,**,0.67,***,0.44,***,0.11,,0.18,*,0.51,***,0.08,,-0.21,*,,,-0.41,***,0.05,,-0.49,***,-0.44,***,0.21,**,,,0.07,,0.15,,,,,,-0.09,,,,0.25,**,,,0.14,,0.58,***,-0.32,***,0.02,,1.0,***,0.22,**,0.18,*,0.12,,0.12,,0.03,,-0.55,***,0.45,***
Understandability,0.29,***,0.22,***,0.29,***,0.56,***,0.3,***,,,0.25,***,0.63,***,0.25,***,0.63,***,0.19,***,-0.07,**,,,0.11,***,0.27,***,0.29,***,0.34,***,0.18,***,-0.61,***,,,0.04,,,,0.03,,-0.08,**,0.29,***,0.31,***,,,-0.23,***,,,0.32,**,,,0.15,***,0.04,,-0.28,***,0.32,***,-0.13,,0.09,,0.1,,0.03,,-0.51,***,0.41,***,0.12,,0.16,*,,,0.38,***,0.03,,0.07,,0.7,***,0.55,***,0.56,***,0.6,***,0.21,***,-0.31,***,,,0.28,***,0.91,***,0.3,***,0.29,***,0.29,***,,,0.38,***,0.28,***,,,0.36,***,-0.24,**,,,0.02,,,,-0.05,,0.65,***,-0.03,,0.04,,0.22,**,1.0,***,0.0,,0.0,,0.0,,0.07,**,0.32,***,0.26,***
Use HTTPS,-0.09,,-0.31,***,-0.07,,0.01,,-0.01,,,,0.26,***,0.02,,0.26,***,0.02,,-0.23,**,-0.21,**,,,0.01,,0.05,,-0.11,,-0.03,,0.04,,0.04,,,,-0.64,***,,,0.28,***,-0.0,,-0.04,,0.05,,,,-0.17,,,,-0.14,,,,-0.2,*,0.02,,0.13,,-0.12,,0.08,,-0.28,***,-0.29,***,-0.09,,0.17,,-0.04,,-0.32,***,-0.32,***,,,-0.01,,-0.13,,0.24,,-0.17,*,-0.31,***,-0.09,,-0.09,,0.05,,0.04,,,,-0.29,***,0.1,,0.05,,0.06,,-0.03,,,,-0.01,,1.0,***,,,,,0.38,***,,,0.02,,,,0.04,,-0.05,,-0.18,*,-0.13,,0.18,*,0.0,,1.0,***,-0.1,,-0.1,,-0.14,,0.01,,-0.04,
Use RDF structures,0.35,***,0.14,,-0.04,,-0.03,,0.07,,,,-0.02,,0.08,,-0.02,,0.08,,-0.26,**,-0.12,,,,-0.1,,0.26,**,0.39,***,0.31,***,0.03,,-0.11,,,,,,,,0.05,,-0.11,,-0.08,,0.12,,,,-0.13,,,,0.18,,,,0.13,,0.37,***,-0.0,,0.42,***,0.27,**,-0.04,,-0.03,,-0.49,***,-0.16,,-0.31,***,-0.02,,-0.02,,,,0.24,**,0.23,**,0.5,***,0.23,**,0.32,***,0.25,**,0.35,***,0.13,,0.41,***,,,0.04,,-0.11,,-0.01,,-0.24,**,0.13,,,,0.23,**,-0.11,,,,,,0.17,,,,0.16,,,,-0.15,,-0.11,,-0.48,***,0.52,***,0.12,,0.0,,-0.1,,1.0,***,1.0,***,0.08,,-0.1,,0.21,**
Uses RDF structures,0.35,***,0.14,,-0.04,,-0.03,,0.07,,,,-0.02,,0.08,,-0.02,,0.08,,-0.26,**,-0.12,,,,-0.1,,0.26,**,0.39,***,0.31,***,0.03,,-0.11,,,,,,,,0.05,,-0.11,,-0.08,,0.12,,,,-0.13,,,,0.18,,,,0.13,,0.37,***,-0.0,,0.42,***,0.27,**,-0.04,,-0.03,,-0.49,***,-0.16,,-0.31,***,-0.02,,-0.02,,,,0.24,**,0.23,**,0.5,***,0.23,**,0.32,***,0.25,**,0.35,***,0.13,,0.41,***,,,0.04,,-0.11,,-0.01,,-0.24,**,0.13,,,,0.23,**,-0.11,,,,,,0.17,,,,0.16,,,,-0.15,,-0.11,,-0.48,***,0.52,***,0.12,,0.0,,-0.1,,1.0,***,1.0,***,0.08,,-0.1,,0.21,**
Verifiability,0.31,***,0.2,***,0.51,***,0.52,***,0.48,***,,,0.26,***,0.68,***,0.26,***,0.68,***,0.28,***,0.31,***,,,0.2,***,0.49,***,0.48,***,0.53,***,-0.09,***,-0.56,***,,,-0.13,,,,0.01,,0.02,,0.48,***,0.48,***,,,0.06,*,,,0.52,***,,,0.25,***,0.12,,-0.09,,0.37,***,-0.0,,0.33,***,0.3,***,0.03,,-0.49,***,0.27,**,0.31,***,0.33,***,,,0.59,***,0.3,***,-0.54,***,0.58,***,0.51,***,0.55,***,0.49,***,0.08,***,-0.19,*,,,0.51,***,-0.14,***,0.48,***,0.54,***,-0.03,,,,0.59,***,0.51,***,,,0.77,***,-0.14,,,,-0.09,,,,-0.19,*,0.27,**,-0.15,,0.07,,0.03,,0.07,**,-0.14,,0.08,,0.08,,1.0,***,0.55,***,0.3,***
Versatility,0.39,***,0.18,***,0.9,***,-0.06,,0.86,***,,,0.41,***,-0.12,,0.41,***,-0.12,,0.53,***,-0.07,**,,,0.39,***,0.85,***,0.81,***,0.89,***,0.02,,0.25,**,,,0.02,,,,-0.09,***,-0.12,***,0.84,***,0.82,***,,,-0.14,***,,,-0.09,,,,0.18,***,-0.17,,0.48,***,-0.06,,0.22,**,0.16,*,0.16,*,-0.09,,-0.04,,-0.31,***,0.19,*,0.12,,,,0.53,***,0.14,,-0.82,***,-0.26,***,-0.18,*,-0.11,,-0.29,***,0.16,***,0.17,,,,0.9,***,-0.01,,0.82,***,0.95,***,0.08,**,,,0.53,***,0.9,***,,,0.92,***,-0.06,,,,0.0,,,,0.11,,-0.29,***,0.16,,0.11,,-0.55,***,0.32,***,0.01,,-0.1,,-0.1,,0.55,***,1.0,***,0.48,***
Timeliness,0.27,***,0.15,***,0.54,***,0.68,***,0.56,***,,,0.17,***,0.54,***,0.17,***,0.54,***,0.26,***,0.02,,,,0.03,,0.54,***,0.6,***,0.53,***,0.08,***,-0.7,***,,,-0.47,**,,,0.01,,-0.11,***,0.57,***,0.59,***,,,-0.05,,,,0.55,***,,,0.18,***,0.22,*,-0.22,**,0.24,*,0.02,,0.03,,0.05,,-0.4,***,-0.47,***,0.0,,0.14,,0.2,**,,,0.28,***,0.09,,0.25,,0.68,***,0.49,***,0.45,***,0.65,***,0.12,***,-0.04,,,,0.51,***,0.01,,0.56,***,0.46,***,0.12,***,,,0.28,***,0.51,***,,,0.44,***,-0.22,*,,,0.18,*,,,0.06,,0.45,***,-0.27,***,0.21,*,0.45,***,0.26,***,-0.04,,0.21,**,0.21,**,0.3,***,0.48,***,1.0,***
